City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Kralendijk,BQ,12.15,-68.2667,84.18,79,40,18.41,scattered clouds
257,Cayenne,GF,4.9333,-52.3333,84.24,6,0,2.3,clear sky
258,Sibiti,CG,-3.6819,13.3499,71.06,66,11,5.53,few clouds
259,Winnemucca,US,40.973,-117.7357,100.45,14,20,13.8,few clouds
260,Coahuayana,MX,18.7333,-103.6833,81.48,77,99,2.95,overcast clouds
261,Bongandanga,CD,1.5,21.05,72.54,89,99,3.29,light rain
262,Clyde River,CA,70.4692,-68.5914,45.23,57,100,4.41,overcast clouds
263,Ghotki,PK,28.006,69.3161,87.03,63,53,11.52,broken clouds
264,Plettenberg Bay,ZA,-34.0527,23.3716,68.45,36,49,9.84,scattered clouds
265,Alice Springs,AU,-23.7,133.8833,35.15,41,3,6.91,clear sky
266,Veselynove,UA,47.3567,31.2349,70.57,37,20,4.34,few clouds
267,Marsabit,KE,2.3284,37.9899,64.78,63,58,24.63,broken clouds
268,Rameswaram,IN,9.2833,79.3,82.72,81,100,15.08,overcast clouds
269,Thinadhoo,MV,0.5333,72.9333,82.81,78,49,12.93,scattered clouds
270,Victoria,HK,22.2855,114.1577,86.38,83,100,8.99,overcast clouds
271,Turayf,SA,31.6725,38.6637,79.3,36,0,12.48,clear sky
272,Dobryanka,RU,58.4619,56.4165,60.22,95,28,3.8,scattered clouds
273,Lebu,CL,-37.6167,-73.65,48.78,71,100,15.43,light rain
274,Kirakira,SB,-10.4544,161.9205,80.74,80,32,11.16,scattered clouds
275,Canico,PT,32.6333,-16.85,73.0,90,75,6.91,broken clouds
276,Ulladulla,AU,-35.35,150.4667,55.2,51,3,10.65,clear sky
277,Punakha,BT,27.5837,89.8598,71.91,86,40,2.26,scattered clouds
278,Luderitz,NA,-26.6481,15.1594,68.07,35,0,3.06,clear sky
279,Fort Nelson,CA,58.8053,-122.7002,79.2,35,18,2.13,few clouds
280,Karpogory,RU,64.0019,44.4451,54.64,88,2,4.72,clear sky
281,Iranshahr,IR,27.2025,60.6848,92.7,41,94,1.16,overcast clouds
282,Hurghada,EG,27.2574,33.8129,82.26,34,0,21.3,clear sky
283,Lincoln,US,40.8,-96.667,85.28,77,75,9.22,broken clouds
284,Surt,LY,31.2089,16.5887,78.28,65,0,9.22,clear sky
285,Artyom,AZ,40.4723,50.333,73.54,60,0,4.81,clear sky
286,Kahului,US,20.8947,-156.47,84.22,76,40,27.63,scattered clouds
287,Vernon,CA,50.2581,-119.2691,87.75,24,0,1.01,clear sky
288,Palmerston North,NZ,-40.35,175.6167,43.5,97,3,3.04,clear sky
289,Winfield,US,37.2398,-96.9956,104.45,27,0,14.97,clear sky
290,Walvis Bay,NA,-22.9575,14.5053,71.47,31,0,3.78,clear sky
291,Monrovia,LR,6.3005,-10.7969,76.77,83,100,10.76,light rain
292,La Ronge,CA,55.1001,-105.2842,72.45,60,62,5.91,broken clouds
293,Bethel,US,41.3712,-73.414,81.03,75,0,6.91,clear sky
294,Bonnyville,CA,54.2668,-110.735,82.09,47,80,9.73,broken clouds
295,Namibe,AO,-15.1961,12.1522,65.57,91,34,7.96,scattered clouds
296,Katsuura,JP,35.1333,140.3,72.79,91,100,16.58,light rain
297,Eureka,US,40.8021,-124.1637,81.68,79,49,8.01,scattered clouds
298,Adrar,MR,20.5022,-10.0711,98.78,7,99,12.53,overcast clouds
299,Sambava,MG,-14.2667,50.1667,67.39,86,7,10.87,clear sky
300,Valdivia,CL,-39.8142,-73.2459,44.69,88,100,9.19,overcast clouds
301,Novopokrovka,UA,49.8425,36.5477,64.06,68,51,6.87,broken clouds
302,Roald,NO,62.5833,6.1333,55.76,71,75,8.05,broken clouds
303,Pimentel,PE,-6.8367,-79.9342,66.49,68,0,18.41,clear sky
304,Novokayakent,RU,42.3937,47.9861,77.7,61,0,1.07,clear sky
305,Jimeta,NG,9.2833,12.4667,77.18,83,96,3.42,light rain
306,Turbat,PK,26.0023,63.044,91.53,54,100,1.03,overcast clouds
307,Aklavik,CA,68.2191,-135.0107,57.2,77,100,4.61,light rain
308,Rognan,NO,67.0953,15.3878,51.94,67,100,5.17,overcast clouds
309,Luau,AO,-10.7073,22.2247,66.33,35,5,6.67,clear sky
310,Isangel,VU,-19.55,169.2667,71.71,72,52,19.1,broken clouds
